Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login Scenarios,Chrome 127.0.0.0,,,12-08-2024 23:58:08,12-08-2024 23:58:51,42.556s,ERROR
,,,,,,,
Test Cases/Login/L001_Register User,Chrome 127.0.0.0,Register User for the application,,12-08-2024 23:58:08,12-08-2024 23:58:50,41.645s,PASSED
file = new java.io.FileInputStream(new java.io.File((java.lang.System.getProperty(user.dir) + \Data Files\dataFile.xlsx))),Chrome 127.0.0.0,,,12-08-2024 23:58:09,12-08-2024 23:58:09,0.047s,PASSED
workbook = new org.apache.poi.xssf.usermodel.XSSFWorkbook(file),Chrome 127.0.0.0,,,12-08-2024 23:58:09,12-08-2024 23:58:09,0.634s,PASSED
sheet = workbook.getSheetAt(0),Chrome 127.0.0.0,,,12-08-2024 23:58:09,12-08-2024 23:58:09,0.012s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,Launch browser,,12-08-2024 23:58:09,12-08-2024 23:58:12,2.880s,PASSED
"navigateToUrl(""http://automationexercise.com/"")",Chrome 127.0.0.0,Navigate to url http://automationexercise.com,,12-08-2024 23:58:12,12-08-2024 23:58:16,3.537s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Login/Menu_Home""), Long_Timeout)",Chrome 127.0.0.0,Verify that home page is visible successfully,,12-08-2024 23:58:16,12-08-2024 23:58:17,1.404s,PASSED
"verifyElementAttributeValue(findTestObject(""Object Repository/Login/Menu_Home""), ""style"", ""color: orange;"", Short_Timeout)",Chrome 127.0.0.0,,,12-08-2024 23:58:17,12-08-2024 23:58:18,0.397s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Login/img_Home""), OPTIONAL)",Chrome 127.0.0.0,,,12-08-2024 23:58:18,12-08-2024 23:58:18,0.421s,PASSED
"click(findTestObject(""Object Repository/Login/btn_Signup-Login""))",Chrome 127.0.0.0,"Click on ""Signup / Login"" button",,12-08-2024 23:58:18,12-08-2024 23:58:20,2.091s,PASSED
"verifyElementText(findTestObject(""Object Repository/Login/Verify_NewUserSignup""), ""New User Signup!"")",Chrome 127.0.0.0,"Verify ""New User Signup!"" is visible",,12-08-2024 23:58:20,12-08-2024 23:58:21,0.698s,PASSED
"setText(findTestObject(""Object Repository/Login/txt_Name""), ""KBC Automation"")",Chrome 127.0.0.0,"Enter ""Name""",,12-08-2024 23:58:21,12-08-2024 23:58:22,1.276s,PASSED
random = Math.random() * 1000,Chrome 127.0.0.0,"Enter ""Email"" Address",,12-08-2024 23:58:22,12-08-2024 23:58:22,0.058s,PASSED
myDateObj = LocalDateTime.now(),Chrome 127.0.0.0,,,12-08-2024 23:58:22,12-08-2024 23:58:22,0.014s,PASSED
"out.println(""Before formatting: "" + myDateObj)",Chrome 127.0.0.0,,,12-08-2024 23:58:22,12-08-2024 23:58:22,0.041s,PASSED
"myFormatObj = DateTimeFormatter.ofPattern(""ddMMyyyy"")",Chrome 127.0.0.0,,,12-08-2024 23:58:22,12-08-2024 23:58:22,0.014s,PASSED
formattedDate = myDateObj.format(myFormatObj),Chrome 127.0.0.0,,,12-08-2024 23:58:22,12-08-2024 23:58:22,0.005s,PASSED
"setText(findTestObject(""Object Repository/Login/txt_Email""), ""Test"" + formattedDate + ""@"" + random + "".com"")",Chrome 127.0.0.0,,,12-08-2024 23:58:22,12-08-2024 23:58:23,0.997s,PASSED
"createCell(0).setCellValue(""Test"" + formattedDate + ""@"" + random + "".com"")",Chrome 127.0.0.0,Write data to excel for email,,12-08-2024 23:58:23,12-08-2024 23:58:23,0.161s,PASSED
"click(findTestObject(""Object Repository/Login/btn_SignUp""))",Chrome 127.0.0.0,"Click ""Signup"" button",,12-08-2024 23:58:23,12-08-2024 23:58:27,3.219s,PASSED
"verifyElementAttributeValue(findTestObject(""Object Repository/Login/txt_Name""), ""value"", ""KBC Automation"", Short_Timeout)",Chrome 127.0.0.0,"Verify that ""ENTER ACCOUNT INFORMATION"" is visible",,12-08-2024 23:58:27,12-08-2024 23:58:28,0.900s,PASSED
"verifyElementAttributeValue(findTestObject(""Object Repository/Account Info/verify_Email""), ""value"", ""Test"" + formattedDate + ""@"" + random + "".com"", Short_Timeout)",Chrome 127.0.0.0,,,12-08-2024 23:58:28,12-08-2024 23:58:28,0.310s,PASSED
"check(findTestObject(""Object Repository/Account Info/radiobtn_Title""))",Chrome 127.0.0.0,"Select the ""Title""",,12-08-2024 23:58:28,12-08-2024 23:58:28,0.382s,PASSED
"setText(findTestObject(""Object Repository/Account Info/txt_Password""), ""Test"" + formattedDate + ""@"" + random)",Chrome 127.0.0.0,"Set the ""Password"" for our logged in user",,12-08-2024 23:58:28,12-08-2024 23:58:29,0.911s,PASSED
"createCell(1).setCellValue(""Test"" + formattedDate + ""@"" + random)",Chrome 127.0.0.0,Write data to excel for email,,12-08-2024 23:58:29,12-08-2024 23:58:29,0.007s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Account Info/drp_days""), ""21"", false)",Chrome 127.0.0.0,Set The Date of Birth,,12-08-2024 23:58:29,12-08-2024 23:58:30,0.761s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Account Info/drp_Month""), Short_Timeout)",Chrome 127.0.0.0,,,12-08-2024 23:58:30,12-08-2024 23:58:30,0.329s,PASSED
