Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"out.println(""Before formatting: "" + myDateObj)",Chrome 127.0.0.0,,,12-08-2024 23:43:11,12-08-2024 23:43:11,0.021s,PASSED
"myFormatObj = DateTimeFormatter.ofPattern(""ddMMyyyy"")",Chrome 127.0.0.0,,,12-08-2024 23:43:11,12-08-2024 23:43:11,0.009s,PASSED
formattedDate = myDateObj.format(myFormatObj),Chrome 127.0.0.0,,,12-08-2024 23:43:11,12-08-2024 23:43:11,0.000s,PASSED
"setText(findTestObject(""Object Repository/Login/txt_Email""), ""Test"" + formattedDate + ""@"" + random + "".com"")",Chrome 127.0.0.0,,,12-08-2024 23:43:11,12-08-2024 23:43:12,0.880s,PASSED
"createCell(0).setCellValue(""Test"" + formattedDate + ""@"" + random + "".com"")",Chrome 127.0.0.0,Write data to excel for email,,12-08-2024 23:43:12,12-08-2024 23:43:12,0.096s,PASSED
"click(findTestObject(""Object Repository/Login/btn_SignUp""))",Chrome 127.0.0.0,"Click ""Signup"" button",,12-08-2024 23:43:12,12-08-2024 23:43:14,1.892s,PASSED
"verifyElementAttributeValue(findTestObject(""Object Repository/Login/txt_Name""), ""value"", ""KBC Automation"", Short_Timeout)",Chrome 127.0.0.0,"Verify that ""ENTER ACCOUNT INFORMATION"" is visible",,12-08-2024 23:43:14,12-08-2024 23:43:14,0.617s,PASSED
"verifyElementAttributeValue(findTestObject(""Object Repository/Account Info/verify_Email""), ""value"", ""Test"" + formattedDate + ""@"" + random + "".com"", Short_Timeout)",Chrome 127.0.0.0,,,12-08-2024 23:43:14,12-08-2024 23:43:15,0.651s,PASSED
"check(findTestObject(""Object Repository/Account Info/radiobtn_Title""))",Chrome 127.0.0.0,"Select the ""Title""",,12-08-2024 23:43:15,12-08-2024 23:43:15,0.415s,PASSED
"setText(findTestObject(""Object Repository/Account Info/txt_Password""), ""Test"" + formattedDate + ""@"" + random)",Chrome 127.0.0.0,"Set the ""Password"" for our logged in user",,12-08-2024 23:43:15,12-08-2024 23:43:16,0.806s,PASSED
"createCell(1).setCellValue(""Test"" + formattedDate + ""@"" + random)",Chrome 127.0.0.0,Write data to excel for email,,12-08-2024 23:43:16,12-08-2024 23:43:16,0.006s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Account Info/drp_days""), ""21"", false)",Chrome 127.0.0.0,Set The Date of Birth,,12-08-2024 23:43:16,12-08-2024 23:43:17,0.701s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Account Info/drp_Month""), Short_Timeout)",Chrome 127.0.0.0,,,12-08-2024 23:43:17,12-08-2024 23:43:17,0.331s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Account Info/drp_Month""), ""3"", false)",Chrome 127.0.0.0,,,12-08-2024 23:43:17,12-08-2024 23:43:18,0.649s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Account Info/drp_Year""), ""2002"", false)",Chrome 127.0.0.0,,,12-08-2024 23:43:18,12-08-2024 23:43:18,0.651s,PASSED
"scrollToElement(findTestObject(""Object Repository/Account Info/checkbox_signUpNews""), Short_Timeout)",Chrome 127.0.0.0,"Select checkbox ""Sign up for our newsletter!""",,12-08-2024 23:43:18,12-08-2024 23:43:19,0.359s,PASSED
"click(findTestObject(""Object Repository/Account Info/checkbox_signUpNews""))",Chrome 127.0.0.0,,,12-08-2024 23:43:19,12-08-2024 23:43:19,0.379s,PASSED
"click(findTestObject(""Object Repository/Account Info/checkbox_option""))",Chrome 127.0.0.0,"Select checkbox ""Receive special offers from our partners!""",,12-08-2024 23:43:19,12-08-2024 23:43:20,0.370s,PASSED
"scrollToElement(findTestObject(""Object Repository/Account Info/txt_first_name""), Short_Timeout)",Chrome 127.0.0.0,"Enter ""First name""",,12-08-2024 23:43:20,12-08-2024 23:43:20,0.316s,PASSED
"setText(findTestObject(""Object Repository/Account Info/txt_first_name""), ""KBC"")",Chrome 127.0.0.0,,,12-08-2024 23:43:20,12-08-2024 23:43:21,0.835s,PASSED
"setText(findTestObject(""Object Repository/Account Info/txt_last_name""), ""Automation"")",Chrome 127.0.0.0,"Enter ""Last name""",,12-08-2024 23:43:21,12-08-2024 23:43:22,0.895s,PASSED
"setText(findTestObject(""Object Repository/Account Info/txt_Company""), ""Automation"")",Chrome 127.0.0.0,"Enter ""Company""",,12-08-2024 23:43:22,12-08-2024 23:43:23,0.924s,PASSED
"setText(findTestObject(""Object Repository/Account Info/txt_Address""), ""Test near test"")",Chrome 127.0.0.0,"Enter ""Address""",,12-08-2024 23:43:23,12-08-2024 23:43:23,0.885s,PASSED
"setText(findTestObject(""Object Repository/Account Info/txt_Address2""), ""Address 2"")",Chrome 127.0.0.0,"Enter ""Address 2""",,12-08-2024 23:43:23,12-08-2024 23:43:24,0.875s,PASSED
"selectOptionByLabel(findTestObject(""Object Repository/Account Info/drp_Country""), ""Australia"", false)",Chrome 127.0.0.0,"Select ""Country""",,12-08-2024 23:43:24,12-08-2024 23:43:25,0.680s,PASSED
"scrollToElement(findTestObject(""Object Repository/Account Info/txt_State""), Short_Timeout)",Chrome 127.0.0.0,"Enter ""State""",,12-08-2024 23:43:25,12-08-2024 23:43:25,0.321s,PASSED
"setText(findTestObject(""Object Repository/Account Info/txt_State""), ""ACT"")",Chrome 127.0.0.0,,,12-08-2024 23:43:25,12-08-2024 23:43:26,0.799s,PASSED
"setText(findTestObject(""Object Repository/Account Info/txt_City""), ""Melbourne"")",Chrome 127.0.0.0,"Enter ""City""",,12-08-2024 23:43:26,12-08-2024 23:43:27,0.850s,PASSED
"setText(findTestObject(""Object Repository/Account Info/txt_zipcode""), ""2900"")",Chrome 127.0.0.0,"Enter ""ZipCode""",,12-08-2024 23:43:27,12-08-2024 23:43:28,0.872s,PASSED
"setText(findTestObject(""Object Repository/Account Info/num_Mobile""), ""1236123612"")",Chrome 127.0.0.0,"Enter ""ZipCode""",,12-08-2024 23:43:28,12-08-2024 23:43:29,0.864s,PASSED
"scrollToElement(findTestObject(""Object Repository/Account Info/btn_CreateAcc""), Short_Timeout)",Chrome 127.0.0.0,"Click ""Create Account button""",,12-08-2024 23:43:29,12-08-2024 23:43:29,0.326s,PASSED
"click(findTestObject(""Object Repository/Account Info/btn_CreateAcc""))",Chrome 127.0.0.0,,,12-08-2024 23:43:29,12-08-2024 23:43:32,2.874s,PASSED
"verifyElementText(findTestObject(""Object Repository/Account Info/verify_AccountCreated""), ""ACCOUNT CREATED!"")",Chrome 127.0.0.0,"Verify that ""ACCOUNT CREATED!"" is visible",,12-08-2024 23:43:32,12-08-2024 23:43:32,0.616s,PASSED
"click(findTestObject(""Object Repository/Account Info/btn_Continue""))",Chrome 127.0.0.0,"Click ""Continue"" button",,12-08-2024 23:43:32,12-08-2024 23:43:36,3.155s,PASSED
"verifyElementText(findTestObject(""Object Repository/Account Info/verify_loggedinUser""), ""KBC Automation"")",Chrome 127.0.0.0,"Verify that ""Logged in as username"" is visible",,12-08-2024 23:43:36,12-08-2024 23:43:36,0.624s,PASSED
file.close(),Chrome 127.0.0.0,,,12-08-2024 23:43:36,12-08-2024 23:43:36,0.000s,PASSED
outFile = new java.io.FileOutputStream(new java.io.File((java.lang.System.getProperty(user.dir) + \Data Files\dataFile.xlsx))),Chrome 127.0.0.0,,,12-08-2024 23:43:36,12-08-2024 23:43:36,0.018s,PASSED
workbook.write(outFile),Chrome 127.0.0.0,,,12-08-2024 23:43:36,12-08-2024 23:43:36,0.210s,PASSED
outFile.close(),Chrome 127.0.0.0,,,12-08-2024 23:43:36,12-08-2024 23:43:36,0.000s,PASSED
closeBrowser(),Chrome 127.0.0.0,,,12-08-2024 23:43:36,12-08-2024 23:43:37,0.282s,PASSED
,,,,,,,
Test Cases/Login/L004_Logout,Chrome 127.0.0.0,,,12-08-2024 23:43:37,12-08-2024 23:44:21,44.440s,FAILED
"callTestCase(findTestCase(""Login/L002_Login User with correct email and password""), [""userEmail"":userEmail, ""password"":password], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,12-08-2024 23:43:37,12-08-2024 23:44:21,44.262s,FAILED
