Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"createCell(0).setCellValue(""Test"" + formattedDate + ""@"" + random + "".com"")",Chrome 127.0.0.0,Write data to excel for email,,13-08-2024 00:00:01,13-08-2024 00:00:01,0.165s,PASSED
"click(findTestObject(""Object Repository/Login/btn_SignUp""))",Chrome 127.0.0.0,"Click ""Signup"" button",,13-08-2024 00:00:01,13-08-2024 00:00:04,2.918s,PASSED
"verifyElementAttributeValue(findTestObject(""Object Repository/Login/txt_Name""), ""value"", ""KBC Automation"", Short_Timeout)",Chrome 127.0.0.0,"Verify that ""ENTER ACCOUNT INFORMATION"" is visible",,13-08-2024 00:00:04,13-08-2024 00:00:04,0.614s,PASSED
"verifyElementAttributeValue(findTestObject(""Object Repository/Account Info/verify_Email""), ""value"", ""Test"" + formattedDate + ""@"" + random + "".com"", Short_Timeout)",Chrome 127.0.0.0,,,13-08-2024 00:00:04,13-08-2024 00:00:05,0.765s,PASSED
"check(findTestObject(""Object Repository/Account Info/radiobtn_Title""))",Chrome 127.0.0.0,"Select the ""Title""",,13-08-2024 00:00:05,13-08-2024 00:00:05,0.355s,PASSED
"setText(findTestObject(""Object Repository/Account Info/txt_Password""), ""Test"" + formattedDate + ""@"" + random)",Chrome 127.0.0.0,"Set the ""Password"" for our logged in user",,13-08-2024 00:00:05,13-08-2024 00:00:06,0.880s,PASSED
"createCell(1).setCellValue(""Test"" + formattedDate + ""@"" + random)",Chrome 127.0.0.0,Write data to excel for email,,13-08-2024 00:00:06,13-08-2024 00:00:06,0.005s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Account Info/drp_days""), ""21"", false)",Chrome 127.0.0.0,Set The Date of Birth,,13-08-2024 00:00:06,13-08-2024 00:00:07,0.693s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Account Info/drp_Month""), Short_Timeout)",Chrome 127.0.0.0,,,13-08-2024 00:00:07,13-08-2024 00:00:07,0.342s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Account Info/drp_Month""), ""3"", false)",Chrome 127.0.0.0,,,13-08-2024 00:00:07,13-08-2024 00:00:08,0.683s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Account Info/drp_Year""), ""2002"", false)",Chrome 127.0.0.0,,,13-08-2024 00:00:08,13-08-2024 00:00:09,0.710s,PASSED
"scrollToElement(findTestObject(""Object Repository/Account Info/checkbox_signUpNews""), Short_Timeout)",Chrome 127.0.0.0,"Select checkbox ""Sign up for our newsletter!""",,13-08-2024 00:00:09,13-08-2024 00:00:09,0.360s,PASSED
"click(findTestObject(""Object Repository/Account Info/checkbox_signUpNews""))",Chrome 127.0.0.0,,,13-08-2024 00:00:09,13-08-2024 00:00:09,0.419s,PASSED
"click(findTestObject(""Object Repository/Account Info/checkbox_option""))",Chrome 127.0.0.0,"Select checkbox ""Receive special offers from our partners!""",,13-08-2024 00:00:09,13-08-2024 00:00:10,0.396s,PASSED
"scrollToElement(findTestObject(""Object Repository/Account Info/txt_first_name""), Short_Timeout)",Chrome 127.0.0.0,"Enter ""First name""",,13-08-2024 00:00:10,13-08-2024 00:00:10,0.352s,PASSED
"setText(findTestObject(""Object Repository/Account Info/txt_first_name""), ""KBC"")",Chrome 127.0.0.0,,,13-08-2024 00:00:10,13-08-2024 00:00:11,0.832s,PASSED
"setText(findTestObject(""Object Repository/Account Info/txt_last_name""), ""Automation"")",Chrome 127.0.0.0,"Enter ""Last name""",,13-08-2024 00:00:11,13-08-2024 00:00:12,0.866s,PASSED
"setText(findTestObject(""Object Repository/Account Info/txt_Company""), ""Automation"")",Chrome 127.0.0.0,"Enter ""Company""",,13-08-2024 00:00:12,13-08-2024 00:00:13,0.921s,PASSED
"setText(findTestObject(""Object Repository/Account Info/txt_Address""), ""Test near test"")",Chrome 127.0.0.0,"Enter ""Address""",,13-08-2024 00:00:13,13-08-2024 00:00:14,0.927s,PASSED
"setText(findTestObject(""Object Repository/Account Info/txt_Address2""), ""Address 2"")",Chrome 127.0.0.0,"Enter ""Address 2""",,13-08-2024 00:00:14,13-08-2024 00:00:15,0.801s,PASSED
"selectOptionByLabel(findTestObject(""Object Repository/Account Info/drp_Country""), ""Australia"", false)",Chrome 127.0.0.0,"Select ""Country""",,13-08-2024 00:00:15,13-08-2024 00:00:15,0.674s,PASSED
"scrollToElement(findTestObject(""Object Repository/Account Info/txt_State""), Short_Timeout)",Chrome 127.0.0.0,"Enter ""State""",,13-08-2024 00:00:15,13-08-2024 00:00:16,0.330s,PASSED
"setText(findTestObject(""Object Repository/Account Info/txt_State""), ""ACT"")",Chrome 127.0.0.0,,,13-08-2024 00:00:16,13-08-2024 00:00:16,0.770s,PASSED
"setText(findTestObject(""Object Repository/Account Info/txt_City""), ""Melbourne"")",Chrome 127.0.0.0,"Enter ""City""",,13-08-2024 00:00:16,13-08-2024 00:00:17,0.900s,PASSED
"setText(findTestObject(""Object Repository/Account Info/txt_zipcode""), ""2900"")",Chrome 127.0.0.0,"Enter ""ZipCode""",,13-08-2024 00:00:17,13-08-2024 00:00:18,0.874s,PASSED
"setText(findTestObject(""Object Repository/Account Info/num_Mobile""), ""1236123612"")",Chrome 127.0.0.0,"Enter ""ZipCode""",,13-08-2024 00:00:18,13-08-2024 00:00:19,0.900s,PASSED
"scrollToElement(findTestObject(""Object Repository/Account Info/btn_CreateAcc""), Short_Timeout)",Chrome 127.0.0.0,"Click ""Create Account button""",,13-08-2024 00:00:19,13-08-2024 00:00:19,0.317s,PASSED
"click(findTestObject(""Object Repository/Account Info/btn_CreateAcc""))",Chrome 127.0.0.0,,,13-08-2024 00:00:19,13-08-2024 00:00:22,2.976s,PASSED
"verifyElementText(findTestObject(""Object Repository/Account Info/verify_AccountCreated""), ""ACCOUNT CREATED!"")",Chrome 127.0.0.0,"Verify that ""ACCOUNT CREATED!"" is visible",,13-08-2024 00:00:22,13-08-2024 00:00:24,1.191s,PASSED
"click(findTestObject(""Object Repository/Account Info/btn_Continue""))",Chrome 127.0.0.0,"Click ""Continue"" button",,13-08-2024 00:00:24,13-08-2024 00:00:26,2.740s,PASSED
"verifyElementText(findTestObject(""Object Repository/Account Info/verify_loggedinUser""), ""KBC Automation"")",Chrome 127.0.0.0,"Verify that ""Logged in as username"" is visible",,13-08-2024 00:00:26,13-08-2024 00:00:27,0.630s,PASSED
file.close(),Chrome 127.0.0.0,,,13-08-2024 00:00:27,13-08-2024 00:00:27,0.005s,PASSED
outFile = new java.io.FileOutputStream(new java.io.File((java.lang.System.getProperty(user.dir) + \Data Files\dataFile.xlsx))),Chrome 127.0.0.0,,,13-08-2024 00:00:27,13-08-2024 00:00:27,0.007s,PASSED
workbook.write(outFile),Chrome 127.0.0.0,,,13-08-2024 00:00:27,13-08-2024 00:00:27,0.226s,PASSED
outFile.close(),Chrome 127.0.0.0,,,13-08-2024 00:00:27,13-08-2024 00:00:27,0.021s,PASSED
closeBrowser(),Chrome 127.0.0.0,,,13-08-2024 00:00:27,13-08-2024 00:00:27,0.223s,PASSED
,,,,,,,
Test Cases/Login/L004_Logout,Chrome 127.0.0.0,,,13-08-2024 00:00:27,13-08-2024 00:00:28,0.660s,ERROR
file = new java.io.FileInputStream(new java.io.File((java.lang.System.getProperty(user.dir) + \Data Files\dataFile.xlsx))),Chrome 127.0.0.0,,,13-08-2024 00:00:28,13-08-2024 00:00:28,0.000s,PASSED
workbook = new org.apache.poi.xssf.usermodel.XSSFWorkbook(file),Chrome 127.0.0.0,,,13-08-2024 00:00:28,13-08-2024 00:00:28,0.040s,PASSED
sheet = workbook.getSheetAt(0),Chrome 127.0.0.0,,,13-08-2024 00:00:28,13-08-2024 00:00:28,0.000s,PASSED
userEmail = getCell(0).getStringCellValue(),Chrome 127.0.0.0,Read data from excel,,13-08-2024 00:00:28,13-08-2024 00:00:28,0.008s,PASSED
password = getCell(1).getStringCellValue(),Chrome 127.0.0.0,,,13-08-2024 00:00:28,13-08-2024 00:00:28,0.002s,PASSED
"callTestCase(findTestCase(""Login/L002_Login User with correct email and password""), [""userEmail"":userEmail, ""password"":password], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,13-08-2024 00:00:28,13-08-2024 00:00:28,0.420s,ERROR
