Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login Scenarios,Chrome 127.0.0.0,,,13-08-2024 00:32:39,13-08-2024 00:33:32,52.819s,ERROR
,,,,,,,
Test Cases/Login/L001_Register User,Chrome 127.0.0.0,Register User for the application,,13-08-2024 00:32:39,13-08-2024 00:33:31,51.720s,PASSED
file = new java.io.FileInputStream(new java.io.File((java.lang.System.getProperty(user.dir) + \Data Files\dataFile.xlsx))),Chrome 127.0.0.0,,,13-08-2024 00:32:40,13-08-2024 00:32:40,0.038s,PASSED
workbook = new org.apache.poi.xssf.usermodel.XSSFWorkbook(file),Chrome 127.0.0.0,,,13-08-2024 00:32:40,13-08-2024 00:32:40,0.616s,PASSED
sheet = workbook.getSheetAt(0),Chrome 127.0.0.0,,,13-08-2024 00:32:40,13-08-2024 00:32:40,0.011s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,Launch browser,,13-08-2024 00:32:40,13-08-2024 00:32:44,3.965s,PASSED
"navigateToUrl(""http://automationexercise.com/"")",Chrome 127.0.0.0,Navigate to url http://automationexercise.com,,13-08-2024 00:32:44,13-08-2024 00:32:54,9.485s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Login/Menu_Home""), Long_Timeout)",Chrome 127.0.0.0,Verify that home page is visible successfully,,13-08-2024 00:32:54,13-08-2024 00:32:55,1.228s,PASSED
"verifyElementAttributeValue(findTestObject(""Object Repository/Login/Menu_Home""), ""style"", ""color: orange;"", Short_Timeout)",Chrome 127.0.0.0,,,13-08-2024 00:32:55,13-08-2024 00:32:56,0.370s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Login/img_Home""), OPTIONAL)",Chrome 127.0.0.0,,,13-08-2024 00:32:56,13-08-2024 00:32:56,0.422s,PASSED
"click(findTestObject(""Object Repository/Login/btn_Signup-Login""))",Chrome 127.0.0.0,"Click on ""Signup / Login"" button",,13-08-2024 00:32:56,13-08-2024 00:32:59,2.715s,PASSED
"verifyElementText(findTestObject(""Object Repository/Login/Verify_NewUserSignup""), ""New User Signup!"")",Chrome 127.0.0.0,"Verify ""New User Signup!"" is visible",,13-08-2024 00:32:59,13-08-2024 00:33:00,1.227s,PASSED
"setText(findTestObject(""Object Repository/Login/txt_Name""), ""KBC Automation"")",Chrome 127.0.0.0,"Enter ""Name""",,13-08-2024 00:33:00,13-08-2024 00:33:01,0.912s,PASSED
random = Math.random() * 1000,Chrome 127.0.0.0,"Enter ""Email"" Address",,13-08-2024 00:33:01,13-08-2024 00:33:01,0.076s,PASSED
myDateObj = LocalDateTime.now(),Chrome 127.0.0.0,,,13-08-2024 00:33:01,13-08-2024 00:33:01,0.024s,PASSED
"out.println(""Before formatting: "" + myDateObj)",Chrome 127.0.0.0,,,13-08-2024 00:33:01,13-08-2024 00:33:01,0.024s,PASSED
"myFormatObj = DateTimeFormatter.ofPattern(""ddMMyyyy"")",Chrome 127.0.0.0,,,13-08-2024 00:33:01,13-08-2024 00:33:01,0.017s,PASSED
formattedDate = myDateObj.format(myFormatObj),Chrome 127.0.0.0,,,13-08-2024 00:33:01,13-08-2024 00:33:01,0.010s,PASSED
"setText(findTestObject(""Object Repository/Login/txt_Email""), ""Test"" + formattedDate + ""@"" + random + "".com"")",Chrome 127.0.0.0,,,13-08-2024 00:33:01,13-08-2024 00:33:02,1.094s,PASSED
"createCell(0).setCellValue(""Test"" + formattedDate + ""@"" + random + "".com"")",Chrome 127.0.0.0,Write data to excel for email,,13-08-2024 00:33:02,13-08-2024 00:33:02,0.155s,PASSED
"click(findTestObject(""Object Repository/Login/btn_SignUp""))",Chrome 127.0.0.0,"Click ""Signup"" button",,13-08-2024 00:33:02,13-08-2024 00:33:05,2.754s,PASSED
"verifyElementAttributeValue(findTestObject(""Object Repository/Login/txt_Name""), ""value"", ""KBC Automation"", Short_Timeout)",Chrome 127.0.0.0,"Verify that ""ENTER ACCOUNT INFORMATION"" is visible",,13-08-2024 00:33:05,13-08-2024 00:33:06,1.056s,PASSED
"verifyElementAttributeValue(findTestObject(""Object Repository/Account Info/verify_Email""), ""value"", ""Test"" + formattedDate + ""@"" + random + "".com"", Short_Timeout)",Chrome 127.0.0.0,,,13-08-2024 00:33:06,13-08-2024 00:33:06,0.375s,PASSED
"check(findTestObject(""Object Repository/Account Info/radiobtn_Title""))",Chrome 127.0.0.0,"Select the ""Title""",,13-08-2024 00:33:06,13-08-2024 00:33:07,0.385s,PASSED
"setText(findTestObject(""Object Repository/Account Info/txt_Password""), ""Test"" + formattedDate + ""@"" + random)",Chrome 127.0.0.0,"Set the ""Password"" for our logged in user",,13-08-2024 00:33:07,13-08-2024 00:33:08,0.993s,PASSED
"createCell(1).setCellValue(""Test"" + formattedDate + ""@"" + random)",Chrome 127.0.0.0,Write data to excel for email,,13-08-2024 00:33:08,13-08-2024 00:33:08,0.007s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Account Info/drp_days""), ""21"", false)",Chrome 127.0.0.0,Set The Date of Birth,,13-08-2024 00:33:08,13-08-2024 00:33:09,0.878s,PASSED
